State,Policy,Status
PA,Status of Reopening,New Restrictions Imposed
PA,Stay at Home Order,Lifted
PA,Mandatory Quarantine for Travelers,-
PA,Non-Essential Business Closures,All Non-Essential Businesses Permitted to Reopen with Reduced Capacity
PA,Large Gatherings Ban,New Limit on Large Gatherings in Place
PA,Restaurant Limits,New Service Limits
PA,Bar Closures,Newly Closed
PA,Face Covering Requirement,Required for General Public
PA,Primary Election Postponement,-
PA,Emergency Declaration,Yes
RI,Status of Reopening,Proceeding with Reopening
RI,Stay at Home Order,Lifted
RI,Mandatory Quarantine for Travelers,Rolled Back to Certain States
RI,Non-Essential Business Closures,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity
RI,Large Gatherings Ban,Expanded to New Limit Below 25
RI,Restaurant Limits,Reopened to Dine-in Service with Capacity Limits
RI,Bar Closures,Reopened
RI,Face Covering Requirement,Required for General Public
RI,Primary Election Postponement,Postponed
RI,Emergency Declaration,Yes
SC,Status of Reopening,New Restrictions Imposed
SC,Stay at Home Order,Lifted
SC,Mandatory Quarantine for Travelers,Lifted
SC,Non-Essential Business Closures,New Business Closures or Limits
SC,Large Gatherings Ban,Lifted
SC,Restaurant Limits,New Service Limits
SC,Bar Closures,New Service Limits
SC,Face Covering Requirement,Allows Local Officals to Require for General Public
SC,Primary Election Postponement,-
SC,Emergency Declaration,Yes
SD,Status of Reopening,Reopened
SD,Stay at Home Order,-
SD,Mandatory Quarantine for Travelers,-
SD,Non-Essential Business Closures,-
SD,Large Gatherings Ban,Lifted
SD,Restaurant Limits,-
SD,Bar Closures,Reopened
SD,Face Covering Requirement,-
SD,Primary Election Postponement,-
SD,Emergency Declaration,Yes
TN,Status of Reopening,Proceeding with Reopening
TN,Stay at Home Order,Lifted
TN,Mandatory Quarantine for Travelers,-
TN,Non-Essential Business Closures,All Non-Essential Businesses Permitted to Reopen
TN,Large Gatherings Ban,Expanded to New Limit Above 25
TN,Restaurant Limits,Reopened to Dine-in Service
TN,Bar Closures,Reopened
TN,Face Covering Requirement,Allows Local Officals to Require for General Public
TN,Primary Election Postponement,-
TN,Emergency Declaration,Yes
TX,Status of Reopening,New Restrictions Imposed
TX,Stay at Home Order,Lifted
TX,Mandatory Quarantine for Travelers,Lifted
TX,Non-Essential Business Closures,New Business Closures or Limits
TX,Large Gatherings Ban,New Limit on Large Gatherings in Place
TX,Restaurant Limits,Reopened to Dine-in Service with Capacity Limits
TX,Bar Closures,Newly Closed
TX,Face Covering Requirement,Required for General Public
TX,Primary Election Postponement,-
TX,Emergency Declaration,Yes
UT,Status of Reopening,Proceeding with Reopening
UT,Stay at Home Order,Lifted
UT,Mandatory Quarantine for Travelers,Lifted
UT,Non-Essential Business Closures,-
UT,Large Gatherings Ban,Expanded to New Limit Above 25
UT,Restaurant Limits,Reopened to Dine-in Service
UT,Bar Closures,Reopened
UT,Face Covering Requirement,Required for Certain Employees
UT,Primary Election Postponement,-
UT,Emergency Declaration,Yes
VT,Status of Reopening,Proceeding with Reopening
VT,Stay at Home Order,Lifted
VT,Mandatory Quarantine for Travelers,Rolled Back to Certain States
VT,Non-Essential Business Closures,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity
VT,Large Gatherings Ban,Expanded to New Limit of 25
VT,Restaurant Limits,Reopened to Dine-in Service with Capacity Limits
VT,Bar Closures,Reopened
VT,Face Covering Requirement,Required for General Public
VT,Primary Election Postponement,-
VT,Emergency Declaration,Yes
VA,Status of Reopening,Proceeding with Reopening
VA,Stay at Home Order,Lifted
VA,Mandatory Quarantine for Travelers,-
VA,Non-Essential Business Closures,All Non-Essential Businesses Permitted to Reopen with Reduced Capacity
VA,Large Gatherings Ban,Expanded to New Limit Above 25
VA,Restaurant Limits,Reopened to Dine-in Service
VA,Bar Closures,Closed
VA,Face Covering Requirement,Required for General Public
VA,Primary Election Postponement,-
VA,Emergency Declaration,Yes
WA,Status of Reopening,Paused
WA,Stay at Home Order,Lifted
WA,Mandatory Quarantine for Travelers,-
WA,Non-Essential Business Closures,Some Non-Essential Businesses Permitted to Reopen
WA,Large Gatherings Ban,Other
WA,Restaurant Limits,New Service Limits
WA,Bar Closures,Closed
WA,Face Covering Requirement,Required for General Public
WA,Primary Election Postponement,-
WA,Emergency Declaration,Yes
WV,Status of Reopening,New Restrictions Imposed
WV,Stay at Home Order,Lifted
WV,Mandatory Quarantine for Travelers,Lifted
WV,Non-Essential Business Closures,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity
WV,Large Gatherings Ban,New Limit on Large Gatherings in Place
WV,Restaurant Limits,Reopened to Dine-in Service with Capacity Limits
WV,Bar Closures,Reopened
WV,Face Covering Requirement,Required for General Public
WV,Primary Election Postponement,Postponed
WV,Emergency Declaration,Yes
WI,Status of Reopening,Reopened
WI,Stay at Home Order,Lifted
WI,Mandatory Quarantine for Travelers,-
WI,Non-Essential Business Closures,All Non-Essential Businesses Permitted to Reopen
WI,Large Gatherings Ban,Lifted
WI,Restaurant Limits,Reopened to Dine-in Service
WI,Bar Closures,Reopened
WI,Face Covering Requirement,Required for General Public
WI,Primary Election Postponement,-
WI,Emergency Declaration,Yes
WY,Status of Reopening,Proceeding with Reopening
WY,Stay at Home Order,-
WY,Mandatory Quarantine for Travelers,Lifted
WY,Non-Essential Business Closures,-
WY,Large Gatherings Ban,Expanded to New Limit Above 25
WY,Restaurant Limits,Reopened to Dine-in Service
WY,Bar Closures,Reopened
WY,Face Covering Requirement,Required for Certain Employees
WY,Primary Election Postponement,-
WY,Emergency Declaration,Yes
